2023-03-29 20:21:22,147 - __main__ - INFO - Testing for participant 0.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,179 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,189 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:21:22,151 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:23:08,298 - brainiak.fcma.voxelselector - INFO - in rank 1, task 52 takes 1.79 s
2023-03-29 20:23:10,090 - brainiak.fcma.voxelselector - INFO - in rank 1, task 53 takes 1.79 s
2023-03-29 20:23:11,884 - brainiak.fcma.voxelselector - INFO - in rank 1, task 54 takes 1.79 s
2023-03-29 20:23:13,680 - brainiak.fcma.voxelselector - INFO - in rank 1, task 55 takes 1.80 s
2023-03-29 20:23:15,497 - brainiak.fcma.voxelselector - INFO - in rank 1, task 56 takes 1.82 s
2023-03-29 20:23:17,313 - brainiak.fcma.voxelselector - INFO - in rank 1, task 57 takes 1.82 s
2023-03-29 20:23:19,129 - brainiak.fcma.voxelselector - INFO - in rank 1, task 58 takes 1.81 s
2023-03-29 20:23:20,930 - brainiak.fcma.voxelselector - INFO - in rank 1, task 59 takes 1.80 s
2023-03-29 20:23:22,900 - brainiak.fcma.voxelselector - INFO - in rank 1, task 60 takes 1.97 s
2023-03-29 20:23:24,699 - brainiak.fcma.voxelselector - INFO - in rank 1, task 61 takes 1.80 s
2023-03-29 20:23:26,501 - brainiak.fcma.voxelselector - INFO - in rank 1, task 62 takes 1.80 s
2023-03-29 20:23:28,300 - brainiak.fcma.voxelselector - INFO - in rank 1, task 63 takes 1.80 s
2023-03-29 20:23:30,101 - brainiak.fcma.voxelselector - INFO - in rank 1, task 64 takes 1.80 s
2023-03-29 20:23:31,900 - brainiak.fcma.voxelselector - INFO - in rank 1, task 65 takes 1.80 s
2023-03-29 20:23:33,702 - brainiak.fcma.voxelselector - INFO - in rank 1, task 66 takes 1.80 s
2023-03-29 20:23:35,505 - brainiak.fcma.voxelselector - INFO - in rank 1, task 67 takes 1.80 s
2023-03-29 20:23:37,311 - brainiak.fcma.voxelselector - INFO - in rank 1, task 68 takes 1.80 s
2023-03-29 20:23:39,127 - brainiak.fcma.voxelselector - INFO - in rank 1, task 69 takes 1.81 s
2023-03-29 20:23:40,931 - brainiak.fcma.voxelselector - INFO - in rank 1, task 70 takes 1.80 s
2023-03-29 20:23:42,734 - brainiak.fcma.voxelselector - INFO - in rank 1, task 71 takes 1.80 s
2023-03-29 20:23:44,538 - brainiak.fcma.voxelselector - INFO - in rank 1, task 72 takes 1.80 s
2023-03-29 20:23:46,342 - brainiak.fcma.voxelselector - INFO - in rank 1, task 73 takes 1.80 s
2023-03-29 20:23:48,148 - brainiak.fcma.voxelselector - INFO - in rank 1, task 74 takes 1.80 s
2023-03-29 20:23:49,950 - brainiak.fcma.voxelselector - INFO - in rank 1, task 75 takes 1.80 s
2023-03-29 20:23:51,751 - brainiak.fcma.voxelselector - INFO - in rank 1, task 76 takes 1.80 s
2023-03-29 20:23:53,552 - brainiak.fcma.voxelselector - INFO - in rank 1, task 77 takes 1.80 s
2023-03-29 20:23:55,353 - brainiak.fcma.voxelselector - INFO - in rank 1, task 78 takes 1.80 s
2023-03-29 20:23:57,155 - brainiak.fcma.voxelselector - INFO - in rank 1, task 79 takes 1.80 s
2023-03-29 20:23:58,958 - brainiak.fcma.voxelselector - INFO - in rank 1, task 80 takes 1.80 s
2023-03-29 20:24:00,762 - brainiak.fcma.voxelselector - INFO - in rank 1, task 81 takes 1.80 s
2023-03-29 20:24:02,569 - brainiak.fcma.voxelselector - INFO - in rank 1, task 82 takes 1.81 s
2023-03-29 20:24:04,372 - brainiak.fcma.voxelselector - INFO - in rank 1, task 83 takes 1.80 s
2023-03-29 20:24:06,176 - brainiak.fcma.voxelselector - INFO - in rank 1, task 84 takes 1.80 s
2023-03-29 20:24:07,998 - brainiak.fcma.voxelselector - INFO - in rank 1, task 85 takes 1.82 s
2023-03-29 20:24:09,804 - brainiak.fcma.voxelselector - INFO - in rank 1, task 86 takes 1.80 s
2023-03-29 20:24:11,608 - brainiak.fcma.voxelselector - INFO - in rank 1, task 87 takes 1.80 s
2023-03-29 20:24:13,432 - brainiak.fcma.voxelselector - INFO - in rank 1, task 88 takes 1.82 s
