2023-03-29 20:22:10,066 - __main__ - INFO - Testing for participant 2.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,069 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,098 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,103 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:23:24,243 - brainiak.fcma.voxelselector - INFO - in rank 1, task 52 takes 1.27 s
2023-03-29 20:23:25,501 - brainiak.fcma.voxelselector - INFO - in rank 1, task 53 takes 1.26 s
2023-03-29 20:23:26,760 - brainiak.fcma.voxelselector - INFO - in rank 1, task 54 takes 1.26 s
2023-03-29 20:23:28,020 - brainiak.fcma.voxelselector - INFO - in rank 1, task 55 takes 1.26 s
2023-03-29 20:23:29,283 - brainiak.fcma.voxelselector - INFO - in rank 1, task 56 takes 1.26 s
2023-03-29 20:23:30,554 - brainiak.fcma.voxelselector - INFO - in rank 1, task 57 takes 1.27 s
2023-03-29 20:23:31,821 - brainiak.fcma.voxelselector - INFO - in rank 1, task 58 takes 1.27 s
2023-03-29 20:23:33,091 - brainiak.fcma.voxelselector - INFO - in rank 1, task 59 takes 1.27 s
2023-03-29 20:23:34,356 - brainiak.fcma.voxelselector - INFO - in rank 1, task 60 takes 1.26 s
2023-03-29 20:23:35,622 - brainiak.fcma.voxelselector - INFO - in rank 1, task 61 takes 1.27 s
2023-03-29 20:23:36,891 - brainiak.fcma.voxelselector - INFO - in rank 1, task 62 takes 1.27 s
2023-03-29 20:23:38,160 - brainiak.fcma.voxelselector - INFO - in rank 1, task 63 takes 1.27 s
2023-03-29 20:23:39,425 - brainiak.fcma.voxelselector - INFO - in rank 1, task 64 takes 1.27 s
2023-03-29 20:23:40,693 - brainiak.fcma.voxelselector - INFO - in rank 1, task 65 takes 1.27 s
2023-03-29 20:23:41,962 - brainiak.fcma.voxelselector - INFO - in rank 1, task 66 takes 1.27 s
2023-03-29 20:23:43,232 - brainiak.fcma.voxelselector - INFO - in rank 1, task 67 takes 1.27 s
2023-03-29 20:23:44,502 - brainiak.fcma.voxelselector - INFO - in rank 1, task 68 takes 1.27 s
2023-03-29 20:23:45,769 - brainiak.fcma.voxelselector - INFO - in rank 1, task 69 takes 1.27 s
2023-03-29 20:23:47,038 - brainiak.fcma.voxelselector - INFO - in rank 1, task 70 takes 1.27 s
2023-03-29 20:23:48,305 - brainiak.fcma.voxelselector - INFO - in rank 1, task 71 takes 1.27 s
2023-03-29 20:23:49,572 - brainiak.fcma.voxelselector - INFO - in rank 1, task 72 takes 1.27 s
2023-03-29 20:23:50,841 - brainiak.fcma.voxelselector - INFO - in rank 1, task 73 takes 1.27 s
2023-03-29 20:23:52,109 - brainiak.fcma.voxelselector - INFO - in rank 1, task 74 takes 1.27 s
2023-03-29 20:23:53,379 - brainiak.fcma.voxelselector - INFO - in rank 1, task 75 takes 1.27 s
2023-03-29 20:23:54,647 - brainiak.fcma.voxelselector - INFO - in rank 1, task 76 takes 1.27 s
2023-03-29 20:23:55,913 - brainiak.fcma.voxelselector - INFO - in rank 1, task 77 takes 1.27 s
2023-03-29 20:23:57,181 - brainiak.fcma.voxelselector - INFO - in rank 1, task 78 takes 1.27 s
2023-03-29 20:23:58,448 - brainiak.fcma.voxelselector - INFO - in rank 1, task 79 takes 1.27 s
2023-03-29 20:23:59,718 - brainiak.fcma.voxelselector - INFO - in rank 1, task 80 takes 1.27 s
2023-03-29 20:24:00,985 - brainiak.fcma.voxelselector - INFO - in rank 1, task 81 takes 1.27 s
2023-03-29 20:24:02,254 - brainiak.fcma.voxelselector - INFO - in rank 1, task 82 takes 1.27 s
2023-03-29 20:24:03,520 - brainiak.fcma.voxelselector - INFO - in rank 1, task 83 takes 1.27 s
2023-03-29 20:24:04,790 - brainiak.fcma.voxelselector - INFO - in rank 1, task 84 takes 1.27 s
2023-03-29 20:24:06,055 - brainiak.fcma.voxelselector - INFO - in rank 1, task 85 takes 1.27 s
